,Country,Value
0,Nigeria,1628030
1,Egypt,877498
2,South Africa,579592
3,Ethiopia,350693
4,Tanzania,332802
5,Sudan,301584
6,Ghana,295004
7,Uganda,278421
8,Morocco,271821
9,Kenya,256872
10,Cameroon,197670
11,Angola,195499
12,Algeria,188650
13,C̫te d'Ivoire,182486
14,Mozambique,157584
15,Malawi,153717
16,Madagascar,133071
17,Burkina Faso,100129
18,Rwanda,95174
19,Tunisia,92713
20,Mali,92292
21,Benin,88072
22,Niger,86808
23,Zambia,82701
24,Zimbabwe,73316
25,Guinea,66848
26,Swaziland,62665
27,Senegal,49414
28,Sierra Leone,47737
29,Chad,45078
30,Togo,32155
31,Congo,25791
32,Central African Rep.,24921
33,Liberia,14657
34,Namibia,14197
35,Gabon,13566
36,Mauritania,10039
37,Guinea-Bissau,7296
38,Botswana,4808
39,Gambia,4699
40,Lesotho,3785
41,Cape Verde,1658
42,Ṣo Tom̩ and Principe,1152
