Country,Production,Consumption
Cameroon,16962,2622
Cameroon,16962,2671
Cameroon,17657,2246
Cameroon,17657,2311
Cameroon,17657,2354
Cameroon,17657,2378
Cameroon,17657,2446
Cameroon,17657,2492
Cameroon,17657,2510
Cameroon,17657,2573
Cameroon,17657,2622
Cameroon,17657,2671
Cameroon,18459,2246
Cameroon,18459,2311
Cameroon,18459,2354
Cameroon,18459,2378
Cameroon,18459,2446
Cameroon,18459,2492
Cameroon,18459,2510
Cameroon,18459,2573
Cameroon,18459,2622
Cameroon,18459,2671
Cameroon,20729,2246
Cameroon,20729,2311
Cameroon,20729,2354
Cameroon,20729,2378
Cameroon,20729,2446
Cameroon,20729,2492
Cameroon,20729,2510
Cameroon,20729,2573
Cameroon,20729,2622
Cameroon,20729,2671
Cameroon,22310,2246
Cameroon,22310,2311
Cameroon,22310,2354
Cameroon,22310,2378
Cameroon,22310,2446
Cameroon,22310,2492
Cameroon,22310,2510
Cameroon,22310,2573
Cameroon,22310,2622
Cameroon,22310,2671
Cameroon,22964,2246
Cameroon,22964,2311
Cameroon,22964,2354
Cameroon,22964,2378
Cameroon,22964,2446
Cameroon,22964,2492
Cameroon,22964,2510
Cameroon,22964,2573
Cameroon,22964,2622
Cameroon,22964,2671
Cameroon,24044,2246
Cameroon,24044,2311
Cameroon,24044,2354
Cameroon,24044,2378
Cameroon,24044,2446
Cameroon,24044,2492
Cameroon,24044,2510
Cameroon,24044,2573
Cameroon,24044,2622
Cameroon,24044,2671
Cameroon,24773,2246
Cameroon,24773,2311
Cameroon,24773,2354
Cameroon,24773,2378
Cameroon,24773,2446
Cameroon,24773,2492
Cameroon,24773,2510
Cameroon,24773,2573
Cameroon,24773,2622
Cameroon,24773,2671
Central African Republic,2242,1989
Central African Republic,2242,2026
Central African Republic,2242,2029
Central African Republic,2242,2090
Central African Republic,2242,2133
Central African Republic,2242,2139
Central African Republic,2242,2164
Central African Republic,2242,2154
Central African Republic,2242,2116
Central African Republic,2242,1879
Central African Republic,2293,1989
Central African Republic,2293,2026
Central African Republic,2293,2029
Central African Republic,2293,2090
Central African Republic,2293,2133
Central African Republic,2293,2139
Central African Republic,2293,2164
Central African Republic,2293,2154
Central African Republic,2293,2116
Central African Republic,2293,1879
Central African Republic,2329,1989
Central African Republic,2329,2026
Central African Republic,2329,2029
Central African Republic,2329,2090
Central African Republic,2329,2133
Central African Republic,2329,2139
Central African Republic,2329,2164
Central African Republic,2329,2154
Central African Republic,2329,2116
Central African Republic,2329,1879
Central African Republic,2426,1989
Central African Republic,2426,2026
Central African Republic,2426,2029
Central African Republic,2426,2090
Central African Republic,2426,2133
Central African Republic,2426,2139
Central African Republic,2426,2164
Central African Republic,2426,2154
Central African Republic,2426,2116
Central African Republic,2426,1879
Central African Republic,2494,1989
Central African Republic,2494,2026
Central African Republic,2494,2029
Central African Republic,2494,2090
Central African Republic,2494,2133
Central African Republic,2494,2139
Central African Republic,2494,2164
Central African Republic,2494,2154
Central African Republic,2494,2116
Central African Republic,2494,1879
Central African Republic,2569,1989
Central African Republic,2569,2026
Central African Republic,2569,2029
Central African Republic,2569,2090
Central African Republic,2569,2133
Central African Republic,2569,2139
Central African Republic,2569,2164
Central African Republic,2569,2154
Central African Republic,2569,2116
Central African Republic,2569,1879
Central African Republic,2602,1989
Central African Republic,2602,2026
Central African Republic,2602,2029
Central African Republic,2602,2090
Central African Republic,2602,2133
Central African Republic,2602,2139
Central African Republic,2602,2164
Central African Republic,2602,2154
Central African Republic,2602,2116
Central African Republic,2602,1879
Central African Republic,2702,1989
Central African Republic,2702,2026
Central African Republic,2702,2029
Central African Republic,2702,2090
Central African Republic,2702,2133
Central African Republic,2702,2139
Central African Republic,2702,2164
Central African Republic,2702,2154
Central African Republic,2702,2116
Central African Republic,2702,1879
Central African Republic,2761,1989
Central African Republic,2761,2026
Central African Republic,2761,2029
Central African Republic,2761,2090
Central African Republic,2761,2133
Central African Republic,2761,2139
Central African Republic,2761,2164
Central African Republic,2761,2154
Central African Republic,2761,2116
Central African Republic,2761,1879
Central African Republic,2503,1989
Central African Republic,2503,2026
Central African Republic,2503,2029
Central African Republic,2503,2090
Central African Republic,2503,2133
Central African Republic,2503,2139
Central African Republic,2503,2164
Central African Republic,2503,2154
Central African Republic,2503,2116
Central African Republic,2503,1879
Chad,3660,2026
Chad,3660,2034
Chad,3660,2022
Chad,3660,2028
Chad,3660,2027
Chad,3660,2021
Chad,3660,2057
Chad,3660,2062
Chad,3660,2124
Chad,3660,2110
Chad,4360,2026
Chad,4360,2034
Chad,4360,2022
Chad,4360,2028
Chad,4360,2027
Chad,4360,2021
Chad,4360,2057
Chad,4360,2062
Chad,4360,2124
Chad,4360,2110
Chad,4423,2026
Chad,4423,2034
Chad,4423,2022
Chad,4423,2028
Chad,4423,2027
Chad,4423,2021
Chad,4423,2057
Chad,4423,2062
Chad,4423,2124
Chad,4423,2110
Chad,4243,2026
Chad,4243,2034
Chad,4243,2022
Chad,4243,2028
Chad,4243,2027
Chad,4243,2021
Chad,4243,2057
Chad,4243,2062
Chad,4243,2124
Chad,4243,2110
Chad,4332,2026
Chad,4332,2034
Chad,4332,2022
Chad,4332,2028
Chad,4332,2027
Chad,4332,2021
Chad,4332,2057
Chad,4332,2062
Chad,4332,2124
Chad,4332,2110
Chad,4516,2026
Chad,4516,2034
Chad,4516,2022
Chad,4516,2028
Chad,4516,2027
Chad,4516,2021
Chad,4516,2057
Chad,4516,2062
Chad,4516,2124
Chad,4516,2110
Chad,4633,2026
Chad,4633,2034
Chad,4633,2022
Chad,4633,2028
Chad,4633,2027
Chad,4633,2021
Chad,4633,2057
Chad,4633,2062
Chad,4633,2124
Chad,4633,2110
Chad,4070,2026
Chad,4070,2034
Chad,4070,2022
Chad,4070,2028
Chad,4070,2027
Chad,4070,2021
Chad,4070,2057
Chad,4070,2062
Chad,4070,2124
Chad,4070,2110
Chad,5688,2026
Chad,5688,2034
Chad,5688,2022
Chad,5688,2028
Chad,5688,2027
Chad,5688,2021
Chad,5688,2057
Chad,5688,2062
Chad,5688,2124
Chad,5688,2110
Chad,5153,2026
Chad,5153,2034
Chad,5153,2022
Chad,5153,2028
Chad,5153,2027
Chad,5153,2021
Chad,5153,2057
Chad,5153,2062
Chad,5153,2124
Chad,5153,2110
Congo,2241,2263
Congo,2241,2043
Congo,2241,2143
Congo,2241,2135
Congo,2241,2110
Congo,2241,2142
Congo,2241,2143
Congo,2241,2185
Congo,2241,2158
Congo,2241,2208
Congo,2318,2263
Congo,2318,2043
Congo,2318,2143
Congo,2318,2135
Congo,2318,2110
Congo,2318,2142
Congo,2318,2143
Congo,2318,2185
Congo,2318,2158
Congo,2318,2208
Congo,2365,2263
Congo,2365,2043
Congo,2365,2143
Congo,2365,2135
Congo,2365,2110
Congo,2365,2142
Congo,2365,2143
Congo,2365,2185
Congo,2365,2158
Congo,2365,2208
Congo,2438,2263
Congo,2438,2043
Congo,2438,2143
Congo,2438,2135
Congo,2438,2110
Congo,2438,2142
Congo,2438,2143
Congo,2438,2185
Congo,2438,2158
Congo,2438,2208
Congo,2530,2263
Congo,2530,2043
Congo,2530,2143
Congo,2530,2135
Congo,2530,2110
Congo,2530,2142
Congo,2530,2143
Congo,2530,2185
Congo,2530,2158
Congo,2530,2208
Congo,2693,2263
Congo,2693,2043
Congo,2693,2143
Congo,2693,2135
Congo,2693,2110
Congo,2693,2142
Congo,2693,2143
Congo,2693,2185
Congo,2693,2158
Congo,2693,2208
Congo,2707,2263
Congo,2707,2043
Congo,2707,2143
Congo,2707,2135
Congo,2707,2110
Congo,2707,2142
Congo,2707,2143
Congo,2707,2185
Congo,2707,2158
Congo,2707,2208
Congo,2745,2263
Congo,2745,2043
Congo,2745,2143
Congo,2745,2135
Congo,2745,2110
Congo,2745,2142
Congo,2745,2143
Congo,2745,2185
Congo,2745,2158
Congo,2745,2208
Congo,2786,2263
Congo,2786,2043
Congo,2786,2143
Congo,2786,2135
Congo,2786,2110
Congo,2786,2142
Congo,2786,2143
Congo,2786,2185
Congo,2786,2158
Congo,2786,2208
Congo,2968,2263
Congo,2968,2043
Congo,2968,2143
Congo,2968,2135
Congo,2968,2110
Congo,2968,2142
Congo,2968,2143
Congo,2968,2185
Congo,2968,2158
Congo,2968,2208
Cote d'Ivoire,16675,2738
Cote d'Ivoire,16675,2787
Cote d'Ivoire,16675,2783
Cote d'Ivoire,16675,2792
Cote d'Ivoire,16675,2739
Cote d'Ivoire,16675,2727
Cote d'Ivoire,16675,2737
Cote d'Ivoire,16675,2784
Cote d'Ivoire,16675,2780
Cote d'Ivoire,16675,2799
Cote d'Ivoire,17114,2738
Cote d'Ivoire,17114,2787
Cote d'Ivoire,17114,2783
Cote d'Ivoire,17114,2792
Cote d'Ivoire,17114,2739
Cote d'Ivoire,17114,2727
Cote d'Ivoire,17114,2737
Cote d'Ivoire,17114,2784
Cote d'Ivoire,17114,2780
Cote d'Ivoire,17114,2799
Cote d'Ivoire,17660,2738
Cote d'Ivoire,17660,2787
Cote d'Ivoire,17660,2783
Cote d'Ivoire,17660,2792
Cote d'Ivoire,17660,2739
Cote d'Ivoire,17660,2727
Cote d'Ivoire,17660,2737
Cote d'Ivoire,17660,2784
Cote d'Ivoire,17660,2780
Cote d'Ivoire,17660,2799
Cote d'Ivoire,17570,2738
Cote d'Ivoire,17570,2787
Cote d'Ivoire,17570,2783
Cote d'Ivoire,17570,2792
Cote d'Ivoire,17570,2739
Cote d'Ivoire,17570,2727
Cote d'Ivoire,17570,2737
Cote d'Ivoire,17570,2784
Cote d'Ivoire,17570,2780
Cote d'Ivoire,17570,2799
Cote d'Ivoire,18496,2738
Cote d'Ivoire,18496,2787
Cote d'Ivoire,18496,2783
Cote d'Ivoire,18496,2792
Cote d'Ivoire,18496,2739
Cote d'Ivoire,18496,2727
Cote d'Ivoire,18496,2737
Cote d'Ivoire,18496,2784
Cote d'Ivoire,18496,2780
Cote d'Ivoire,18496,2799
Cote d'Ivoire,17351,2738
Cote d'Ivoire,17351,2787
Cote d'Ivoire,17351,2783
Cote d'Ivoire,17351,2792
Cote d'Ivoire,17351,2739
Cote d'Ivoire,17351,2727
Cote d'Ivoire,17351,2737
Cote d'Ivoire,17351,2784
Cote d'Ivoire,17351,2780
Cote d'Ivoire,17351,2799
Cote d'Ivoire,18363,2738
Cote d'Ivoire,18363,2787
Cote d'Ivoire,18363,2783
Cote d'Ivoire,18363,2792
Cote d'Ivoire,18363,2739
Cote d'Ivoire,18363,2727
Cote d'Ivoire,18363,2737
Cote d'Ivoire,18363,2784
Cote d'Ivoire,18363,2780
Cote d'Ivoire,18363,2799
Cote d'Ivoire,18918,2738
Cote d'Ivoire,18918,2787
Cote d'Ivoire,18918,2783
Cote d'Ivoire,18918,2792
Cote d'Ivoire,18918,2739
Cote d'Ivoire,18918,2727
Cote d'Ivoire,18918,2737
Cote d'Ivoire,18918,2784
Cote d'Ivoire,18918,2780
Cote d'Ivoire,18918,2799
Cote d'Ivoire,19919,2738
Cote d'Ivoire,19919,2787
Cote d'Ivoire,19919,2783
Cote d'Ivoire,19919,2792
Cote d'Ivoire,19919,2739
Cote d'Ivoire,19919,2727
Cote d'Ivoire,19919,2737
Cote d'Ivoire,19919,2784
Cote d'Ivoire,19919,2780
Cote d'Ivoire,19919,2799
Cote d'Ivoire,20420,2738
Cote d'Ivoire,20420,2787
Cote d'Ivoire,20420,2783
Cote d'Ivoire,20420,2792
Cote d'Ivoire,20420,2739
Cote d'Ivoire,20420,2727
Cote d'Ivoire,20420,2737
Cote d'Ivoire,20420,2784
Cote d'Ivoire,20420,2780
Cote d'Ivoire,20420,2799
Djibouti,55,2136
Djibouti,55,2265
Djibouti,55,2314
Djibouti,55,2414
Djibouti,55,2447
Djibouti,55,2466
Djibouti,55,2467
Djibouti,55,2504
Djibouti,55,2545
Djibouti,55,2607
Djibouti,62,2136
Djibouti,62,2265
Djibouti,62,2314
Djibouti,62,2414
Djibouti,62,2447
Djibouti,62,2466
Djibouti,62,2467
Djibouti,62,2504
Djibouti,62,2545
Djibouti,62,2607
Djibouti,56,2136
Djibouti,56,2265
Djibouti,56,2314
Djibouti,56,2414
Djibouti,56,2447
Djibouti,56,2466
Djibouti,56,2467
Djibouti,56,2504
Djibouti,56,2545
Djibouti,56,2607
Djibouti,63,2136
Djibouti,63,2265
Djibouti,63,2314
Djibouti,63,2414
Djibouti,63,2447
Djibouti,63,2466
Djibouti,63,2467
Djibouti,63,2504
Djibouti,63,2545
Djibouti,63,2607
Djibouti,62,2136
Djibouti,62,2265
Djibouti,62,2314
Djibouti,62,2414
Djibouti,62,2447
Djibouti,62,2466
Djibouti,62,2467
Djibouti,62,2504
Djibouti,62,2545
Djibouti,62,2607
Djibouti,68,2136
Djibouti,68,2265
Djibouti,68,2314
Djibouti,68,2414
Djibouti,68,2447
Djibouti,68,2466
Djibouti,68,2467
Djibouti,68,2504
Djibouti,68,2545
Djibouti,68,2607
Djibouti,75,2136
Djibouti,75,2265
Djibouti,75,2314
Djibouti,75,2414
Djibouti,75,2447
Djibouti,75,2466
Djibouti,75,2467
Djibouti,75,2504
Djibouti,75,2545
Djibouti,75,2607
Djibouti,72,2136
Djibouti,72,2265
Djibouti,72,2314
Djibouti,72,2414
Djibouti,72,2447
Djibouti,72,2466
Djibouti,72,2467
Djibouti,72,2504
Djibouti,72,2545
Djibouti,72,2607
Djibouti,77,2136
Djibouti,77,2265
Djibouti,77,2314
Djibouti,77,2414
Djibouti,77,2447
